id,cooperado,valor,hora,dispositivo_novo,chave_nova,classificacao,transacao_alta,score_risco
358,365,6685,11,1,1,RISCO_ALTO,True,80
359,100,4109,10,0,1,NORMAL,True,40
360,163,3245,8,0,1,NORMAL,True,40
361,114,512,12,0,0,NORMAL,False,0
362,464,4922,0,1,0,NORMAL,True,50
363,411,6501,14,1,0,RISCO_ALTO,True,70
364,210,6607,15,0,0,NORMAL,True,50
365,161,806,5,1,1,NORMAL,False,30
366,124,122,11,0,0,NORMAL,False,0
367,396,7866,4,0,0,NORMAL,True,50
368,227,976,17,0,0,NORMAL,False,0
369,200,5765,12,1,0,RISCO_ALTO,True,70
370,281,120,11,0,0,NORMAL,False,0
371,386,7998,19,1,1,RISCO_ALTO,True,80
372,481,6056,2,1,0,RISCO_ALTO,True,70
373,164,8079,20,1,1,RISCO_ALTO,True,80
374,454,7040,5,0,0,NORMAL,True,50
375,232,7901,16,1,0,RISCO_ALTO,True,70
376,357,6505,14,0,1,NORMAL,True,60
377,230,2966,12,1,1,NORMAL,False,30
378,166,6411,10,0,0,NORMAL,True,50
379,421,8993,6,0,1,NORMAL,True,60
380,451,1848,21,0,1,NORMAL,False,10
381,447,3002,3,1,1,NORMAL,True,60
382,463,7163,19,1,0,RISCO_ALTO,True,70
383,412,1118,18,1,1,NORMAL,False,30
384,459,4573,14,1,0,NORMAL,True,50
385,131,92,8,1,1,NORMAL,False,30
386,142,2464,14,0,1,NORMAL,False,10
387,168,6769,15,1,0,RISCO_ALTO,True,70
388,314,9164,13,0,1,NORMAL,True,60
389,209,3096,17,0,1,NORMAL,True,40
390,115,5545,7,1,0,RISCO_ALTO,True,70
391,429,4676,11,0,1,NORMAL,True,40
392,302,7813,0,0,0,NORMAL,True,50
393,376,988,19,0,0,NORMAL,False,0
394,120,6546,22,1,1,RISCO_ALTO,True,100
395,396,5127,17,1,1,RISCO_ALTO,True,80
396,217,4327,11,0,1,NORMAL,True,40
397,188,9528,17,0,1,NORMAL,True,60
398,494,2520,10,0,0,NORMAL,False,0
399,288,9510,4,1,1,RISCO_ALTO,True,80
400,384,991,3,1,0,NORMAL,False,20
401,191,2791,1,0,1,NORMAL,False,10
402,242,9820,11,0,1,NORMAL,True,60
403,213,5553,21,1,0,RISCO_ALTO,True,70
404,235,4899,22,1,0,RISCO_MEDIO,True,70
405,413,2154,21,0,1,NORMAL,False,10
406,125,6696,13,1,0,RISCO_ALTO,True,70
407,250,9662,8,1,0,RISCO_ALTO,True,70
408,132,977,0,1,0,NORMAL,False,20
409,170,6446,8,1,0,RISCO_ALTO,True,70
410,274,882,0,0,0,NORMAL,False,0
411,329,4950,0,0,1,NORMAL,True,40
412,302,6389,16,1,0,RISCO_ALTO,True,70
413,173,5267,15,1,0,RISCO_ALTO,True,70
414,276,1967,10,0,1,NORMAL,False,10
415,287,6667,3,0,1,NORMAL,True,60
416,117,3720,9,0,1,NORMAL,True,40
417,243,8471,10,1,0,RISCO_ALTO,True,70
418,170,4300,10,0,1,NORMAL,True,40
419,423,8068,8,0,0,NORMAL,True,50
420,446,9448,7,1,0,RISCO_ALTO,True,70
421,310,9542,2,0,0,NORMAL,True,50
422,250,590,19,0,1,NORMAL,False,10
423,145,1775,22,0,1,NORMAL,False,30
424,119,4717,13,1,0,NORMAL,True,50
425,244,2534,22,1,1,NORMAL,False,50
426,176,328,7,0,0,NORMAL,False,0
427,472,314,4,1,0,NORMAL,False,20
428,177,3992,20,1,1,NORMAL,True,60
429,148,5529,19,0,0,NORMAL,True,50
430,118,492,15,0,0,NORMAL,False,0
431,109,2807,20,1,0,NORMAL,False,20
432,124,8743,10,1,0,RISCO_ALTO,True,70
433,324,3805,4,0,0,NORMAL,True,30
434,288,9564,1,0,1,NORMAL,True,60
435,284,2936,6,1,0,NORMAL,False,20
436,146,4297,9,1,0,NORMAL,True,50
437,218,6540,22,1,1,RISCO_ALTO,True,100
438,474,2856,6,0,1,NORMAL,False,10
439,151,6548,18,0,0,NORMAL,True,50
440,497,3775,17,1,0,NORMAL,True,50
441,376,7426,14,1,1,RISCO_ALTO,True,80
442,376,5039,4,1,1,RISCO_ALTO,True,80
443,447,3543,20,1,1,NORMAL,True,60
444,465,2606,21,1,1,NORMAL,False,30
445,477,5426,11,1,1,RISCO_ALTO,True,80
446,457,5446,5,0,0,NORMAL,True,50
447,249,7353,5,1,1,RISCO_ALTO,True,80
448,252,5488,0,0,0,NORMAL,True,50
449,335,8075,19,1,0,RISCO_ALTO,True,70
450,285,7559,1,1,1,RISCO_ALTO,True,80
451,419,4443,1,0,1,NORMAL,True,40
452,206,755,7,1,1,NORMAL,False,30
453,255,5962,6,0,1,NORMAL,True,60
454,300,3944,14,1,1,NORMAL,True,60
455,139,7114,12,1,1,RISCO_ALTO,True,80
456,478,6038,10,0,1,NORMAL,True,60
457,147,450,2,0,0,NORMAL,False,0
458,283,6345,15,0,1,NORMAL,True,60
459,183,8862,7,0,1,NORMAL,True,60
460,448,6322,14,1,1,RISCO_ALTO,True,80
461,328,9682,10,1,0,RISCO_ALTO,True,70
462,166,2746,4,1,1,NORMAL,False,30
463,237,5635,20,0,1,NORMAL,True,60
464,302,6788,13,0,0,NORMAL,True,50
465,462,6211,3,1,1,RISCO_ALTO,True,80
466,374,5185,12,0,0,NORMAL,True,50
467,250,6369,14,0,1,NORMAL,True,60
468,299,9690,9,0,1,NORMAL,True,60
469,433,8577,6,0,1,NORMAL,True,60
470,499,8113,12,0,0,NORMAL,True,50
471,480,868,3,1,0,NORMAL,False,20
472,120,4331,22,0,1,RISCO_MEDIO,True,60
473,296,7314,8,1,0,RISCO_ALTO,True,70
474,457,7728,3,1,1,RISCO_ALTO,True,80
475,304,8835,13,1,1,RISCO_ALTO,True,80
476,486,3386,20,0,1,NORMAL,True,40
477,261,4158,14,0,0,NORMAL,True,30
478,361,6915,11,0,1,NORMAL,True,60
479,418,7419,6,1,1,RISCO_ALTO,True,80
480,488,7681,6,1,1,RISCO_ALTO,True,80
481,278,2785,2,0,0,NORMAL,False,0
482,358,9483,15,0,0,NORMAL,True,50
483,336,8606,8,1,0,RISCO_ALTO,True,70
484,327,2941,20,0,1,NORMAL,False,10
485,349,1189,8,1,0,NORMAL,False,20
486,382,1387,1,0,1,NORMAL,False,10
487,290,5775,3,0,1,NORMAL,True,60
488,146,6753,4,0,1,NORMAL,True,60
489,462,4505,19,1,0,NORMAL,True,50
490,261,766,15,0,1,NORMAL,False,10
491,171,848,13,1,0,NORMAL,False,20
492,387,6154,23,0,1,RISCO_MEDIO,True,80
493,428,1919,2,1,0,NORMAL,False,20
494,401,7154,14,1,1,RISCO_ALTO,True,80
495,473,2044,20,0,1,NORMAL,False,10
496,349,5439,7,0,0,NORMAL,True,50
497,308,2180,3,0,1,NORMAL,False,10
498,156,2102,1,0,0,NORMAL,False,0
499,362,8061,16,1,0,RISCO_ALTO,True,70
500,183,5771,9,1,1,RISCO_ALTO,True,80
501,466,6031,21,1,0,RISCO_ALTO,True,70
502,321,2076,6,0,0,NORMAL,False,0
503,223,8065,7,1,0,RISCO_ALTO,True,70
504,357,4964,0,1,0,NORMAL,True,50
505,429,8345,10,1,1,RISCO_ALTO,True,80
506,206,6812,13,0,0,NORMAL,True,50
507,334,2541,7,0,0,NORMAL,False,0
508,314,715,16,1,0,NORMAL,False,20
509,192,6893,13,1,0,RISCO_ALTO,True,70
510,300,1695,2,0,1,NORMAL,False,10
511,465,7142,9,1,1,RISCO_ALTO,True,80
512,384,6926,3,0,1,NORMAL,True,60
513,377,7423,12,0,0,NORMAL,True,50
514,454,1514,11,1,0,NORMAL,False,20
515,164,2075,8,0,1,NORMAL,False,10
516,423,5997,12,1,1,RISCO_ALTO,True,80
517,491,2660,20,1,0,NORMAL,False,20
518,486,4777,13,1,1,NORMAL,True,60
519,449,598,10,1,0,NORMAL,False,20
520,410,8255,8,0,0,NORMAL,True,50
521,251,9063,21,0,0,NORMAL,True,50
522,354,1164,19,1,1,NORMAL,False,30
523,345,1017,6,1,1,NORMAL,False,30
524,269,2154,14,0,1,NORMAL,False,10
525,346,6133,11,1,1,RISCO_ALTO,True,80
526,189,1811,22,0,1,NORMAL,False,30
527,348,7175,1,1,0,RISCO_ALTO,True,70
528,423,6052,10,1,1,RISCO_ALTO,True,80
529,313,8607,23,1,0,RISCO_ALTO,True,90
530,223,3804,17,1,0,NORMAL,True,50
531,375,3373,22,0,1,RISCO_MEDIO,True,60
532,347,4073,22,0,1,RISCO_MEDIO,True,60
533,170,5569,3,1,0,RISCO_ALTO,True,70
534,465,5587,15,1,0,RISCO_ALTO,True,70
535,421,9369,1,1,1,RISCO_ALTO,True,80
536,316,8930,15,1,1,RISCO_ALTO,True,80
537,309,7958,3,1,1,RISCO_ALTO,True,80
538,453,902,18,1,1,NORMAL,False,30
539,301,8055,21,0,0,NORMAL,True,50
540,395,7874,23,0,1,RISCO_MEDIO,True,80
541,467,4273,14,0,1,NORMAL,True,40
542,423,3326,21,1,0,NORMAL,True,50
543,497,6152,2,0,1,NORMAL,True,60
544,202,6410,16,0,1,NORMAL,True,60
545,165,5849,3,0,1,NORMAL,True,60
546,169,6849,23,0,0,RISCO_MEDIO,True,70
547,203,3308,12,1,0,NORMAL,True,50
548,343,6874,5,1,1,RISCO_ALTO,True,80
549,254,6778,21,0,0,NORMAL,True,50
550,260,4034,15,0,0,NORMAL,True,30
551,400,7247,22,1,1,RISCO_ALTO,True,100
552,119,5399,16,0,0,NORMAL,True,50
553,430,2080,18,1,1,NORMAL,False,30
554,217,7559,16,1,0,RISCO_ALTO,True,70
555,322,1259,19,0,1,NORMAL,False,10
556,209,7763,18,1,1,RISCO_ALTO,True,80
557,253,4389,9,1,1,NORMAL,True,60
558,185,7851,2,0,1,NORMAL,True,60
559,467,774,8,1,0,NORMAL,False,20
560,144,9537,0,0,1,NORMAL,True,60
561,468,2470,6,0,1,NORMAL,False,10
562,426,8572,1,1,0,RISCO_ALTO,True,70
563,170,4856,22,1,1,RISCO_MEDIO,True,80
564,210,1874,23,1,0,NORMAL,False,40
565,174,3847,11,0,1,NORMAL,True,40
566,358,2711,10,0,0,NORMAL,False,0
567,473,6541,12,1,1,RISCO_ALTO,True,80
568,324,5860,1,1,1,RISCO_ALTO,True,80
569,135,4947,23,0,0,RISCO_MEDIO,True,50
570,264,7735,14,0,0,NORMAL,True,50
571,242,6843,14,1,0,RISCO_ALTO,True,70
572,349,8875,11,1,0,RISCO_ALTO,True,70
573,243,6990,19,1,1,RISCO_ALTO,True,80
574,189,7185,2,1,0,RISCO_ALTO,True,70
